BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log
140386,Assassin's Creed: Arena,2014,1.8333,2,4,8.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.2999826458670976,0.0,0.0,0.6931471805599453,1.9459101490553132
344114,Bag of Chips,2021,1.0,2,5,8.0,15.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7992275112828016,0.6931471805599453,0.0,0.0,1.9459101490553132
319196,Gùgōng: Deluxe Big Box,2020,3.6667,1,5,10.0,30.0,150.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.744070993570312,0.0,0.0,0.6931471805599453,2.302585092994046
11404,LetterFlip,2004,1.3077,2,2,7.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.013375499688434,0.0,0.0,0.0,2.6390573296152584
281020,Treasures of Cibola,2019,1.5,2,4,10.0,15.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.422848629194137,1.3862943611198906,0.0,0.0,1.0986122886681098
172598,H.I.D.E.: Hidden Identity Dice Espionage,2015,1.6,3,5,8.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.202173505995134,0.0,0.0,0.0,1.791759469228055
25841,Le Grand Empire,2007,3.7,2,7,14.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005157297576070139,0.0,0.0,3,4.276666119016055,0.0,0.6931471805599453,0.0,2.3978952727983707
89620,Monopoly: Canada (Electronic Banking),2009,1.0,2,6,10.0,90.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8572147689331513,0.6931471805599453,0.0,0.0,0.6931471805599453
8983,I.Q. 2000,1984,1.6667,2,6,8.0,90.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.293304824724492,2.302585092994046,0.6931471805599453,1.3862943611198906,3.332204510175204
130185,Speedy Recall,2012,1.0,2,6,10.0,5.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.506557897319982,0.0,0.0,0.0,1.3862943611198906
88296,BOLSA: the board game,2011,1.6667,2,6,10.0,75.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.044522437723423,0.6931471805599453,0.0,0.0,1.3862943611198906
229956,"Fort Sumter: The Secession Crisis, 1860-61",2018,1.8158,2,2,13.0,20.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0013404825737265416,0.0,0.0,2,6.20455776256869,0.0,0.0,0.0,3.6635616461296463
30485,Big Brain Academy Boardgame,2007,1.6,2,6,8.0,30.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.941642422609304,1.6094379124341003,0.0,0.0,2.772588722239781
14130,Sharur: Evolutions,2004,2.0,3,6,10.0,90.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.41224721784874,0.0,0.0,0.0,1.3862943611198906
7824,Break the Safe,2003,1.4697,2,4,6.0,30.0,30.0,0,0,0.0,0.0,0.0006807351940095302,0.0,0.0,0.0,0.0,0.0,1,6.305666829369159,1.3862943611198906,0.0,0.0,4.204692619390966
16432,Vinegar Joe's War: CBI,2005,3.375,1,2,14.0,240.0,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0004017677782241864,0.0,0.0,2,4.484884020113589,0.0,0.6931471805599453,0.0,2.1972245773362196
226426,Valerian: The Alpha Missions,2017,2.4,2,4,8.0,20.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.61512051684126,0.0,0.0,0.0,1.791759469228055
7249,The Legend of Zelda,1988,1.3333,1,4,5.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017482517482517483,1,4.77912349311153,0.6931471805599453,0.0,0.0,1.9459101490553132
6598,Frogger,1981,1.4,2,2,4.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.3652195163575005,0.6931471805599453,0.0,0.0,1.791759469228055
18985,Battleground,2005,2.8371,2,2,11.0,60.0,60.0,0,0,0.0,0.0,0.0,0.00199203187250996,0.0,0.002188183807439825,0.0,0.0,2,6.586631319307724,1.0986122886681098,0.0,1.3862943611198906,5.187385805840755
5255,Gorkamorka,1997,2.7895,2,4,13.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0012953367875647669,0.0,0.0007727975270479134,0.0,0.0,2,5.488937726156687,0.0,0.0,0.6931471805599453,3.6635616461296463
231581,AuZtralia,2018,2.9433,1,4,12.0,30.0,120.0,0,1,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.812513095042568,1.3862943611198906,0.0,1.0986122886681098,4.955827057601261
131493,Secret Code 13+4,2012,1.2222,2,4,7.0,15.0,15.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.532071096974262,1.9459101490553132,0.0,0.0,2.302585092994046
317105,Tiny Epic Galaxies BLAST OFF!,2020,1.9,2,4,8.0,30.0,45.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.994792337200656,0.0,0.6931471805599453,0.0,2.3978952727983707
36482,Wings of War: Fire from the Sky,2009,2.0294,2,6,9.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0017730496453900709,0.0,0.0,3,5.9644358747200625,0.0,0.0,1.791759469228055,3.5553480614894135
473,Olé!,1996,1.4286,3,8,10.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.972125439334381,0.6931471805599453,0.0,0.0,3.367295829986474
14054,Akaba,2004,1.2308,2,4,5.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,2,5.198497031265826,0.0,0.0,0.0,3.6888794541139363
202566,Fly High,2016,1.0,2,5,10.0,15.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.164067588373206,0.6931471805599453,0.0,0.0,0.6931471805599453
264196,Dungeons & Dragons: Waterdeep – Dungeon of the Mad Mage Board Game,2019,2.4231,1,5,12.0,60.0,60.0,0,0,0.0007496251874062968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.883462586413092,0.6931471805599453,0.0,0.6931471805599453,3.970291913552122
3850,Galactic Empires,1994,2.4,2,12,15.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.003676470588235294,0.0,0.0,0.0,1,4.844187086458591,0.0,0.0,0.0,3.044522437723423
6848,Dinosaur Chess,1993,2.6667,2,2,10.0,60.0,60.0,0,0,0.00045248868778280545,0.0018115942028985507,0.0,0.0,0.0,0.0,0.0,0.0,3,4.1588830833596715,0.0,0.0,0.0,1.3862943611198906
6840,Teams of Enemies,2000,1.7143,4,8,10.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.1588830833596715,0.0,0.0,0.0,2.0794415416798357
