BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log,Cluster_KMeans,Cluster_Ward,Cluster_DBSCAN
166977,Gangster Dice,2015,1.6,2,4,10.0,20.0,20.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.355735007585398,0.0,0.0,0.6931471805599453,1.791759469228055,1,0,0
5242,The Game of Y,1953,3.0571,2,2,10.0,20.0,20.0,1,0,0.0,0.003875968992248,0.0,0.0,0.0,0.0,0.0,0.0,2,4.31748811353631,1.0986122886681098,1.0986122886681098,0.0,3.58351893845611,0,0,0
257598,MacGyver: The Escape Room Game,2018,1.5,1,4,10.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.162879395652933,0.0,0.0,0.0,1.0986122886681098,1,0,0
69292,Guardians of Graxia,2010,3.0,1,2,11.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0003003003003003,0.0,0.0,1,5.12594614060725,0.0,0.0,0.0,2.70805020110221,0,0,0
231038,Dreamscape,2019,3.125,1,4,12.0,60.0,90.0,0,1,0.0010559662090813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.644657412160894,0.6931471805599453,0.0,1.9459101490553128,4.04305126783455,0,0,0
35289,The Dutch Golden Age,2008,2.5062,3,4,10.0,60.0,60.0,0,0,0.0006119951040391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.048159890784527,1.791759469228055,0.0,0.0,4.406719247264253,0,0,0
258389,Futuropia,2018,2.625,1,4,13.0,90.0,90.0,0,0,0.0005624296962879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.951510231600949,0.6931471805599453,0.0,0.0,2.19722457733622,0,1,0
322708,Descent: Legends of the Dark,2021,2.6377,1,4,11.0,120.0,180.0,0,0,0.0,0.0,0.0,0.0068493150684931,0.0,0.0,0.0,0.0,3,7.3914152346753585,1.9459101490553128,0.0,0.0,4.248495242049359,0,0,0
21513,Hercules: The Legendary Journeys Trading Card Game,1998,1.25,2,3,8.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0038910505836575,0.0,0.0,0.0,1,3.332204510175204,0.0,0.0,0.0,1.6094379124341005,1,0,0
4621,Cloak & Dagger,1984,1.75,2,4,6.0,30.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.970291913552122,0.0,0.0,0.0,1.6094379124341005,1,0,0
188198,Zaginione Dziedzictwo: Gwiezdne Ostrze,2015,1.0,2,4,10.0,10.0,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.982792076316353,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,1,0,0
3563,The Lord of the Rings: The Fellowship of the Ring,2001,2.8462,2,2,10.0,90.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0008658008658008,0.0,0.0,2,5.572154032177765,1.3862943611198906,1.3862943611198906,0.0,3.295836866004329,0,0,0
17053,Sleeping Queens,2005,1.0559,2,5,5.0,20.0,20.0,0,0,0.0,0.0,0.0014705882352941,0.0,0.0,0.0,0.0,0.0192307692307692,2,7.946853440117839,2.772588722239781,0.6931471805599453,0.6931471805599453,5.087596335232384,1,0,0
9615,Station Master,2004,1.5479,2,6,10.0,30.0,60.0,0,0,0.0005515719801434,0.0,0.0006949270326615,0.0,0.0,0.0,0.0,0.0,2,5.709322655031817,0.0,0.6931471805599453,1.0986122886681098,4.30406509320417,1,0,0
6010,Phantom Rallye,2003,1.3333,2,4,3.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014367816091954,1,4.295015257684252,2.079441541679836,0.0,0.0,2.302585092994046,1,0,0
301084,Polynesia,2020,2.4167,2,4,9.0,60.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.282889605838597,0.6931471805599453,0.0,0.6931471805599453,3.218875824868201,0,0,0
165469,Council of Verona (Second Edition),2014,1.625,2,5,12.0,20.0,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.172396249612882,1.3862943611198906,1.6094379124341005,0.6931471805599453,2.833213344056216,1,0,0
289081,The Grand Carnival,2020,2.25,1,4,10.0,45.0,60.0,0,0,0.0,0.0,0.0014749262536873,0.0,0.0,0.0,0.0,0.0,3,6.483616905608352,0.0,0.0,0.0,2.833213344056216,1,0,0
186945,O.P. Arena,2019,1.5,2,6,10.0,30.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.550361949493096,0.0,0.0,0.0,1.6094379124341005,1,0,0
64520,Gongor Whist,2008,2.0,1,1,10.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.302585092994046,0.0,0.0,0.0,0.6931471805599453,1,0,-1
215308,Indulgence,2017,1.9,3,4,13.0,40.0,60.0,1,0,0.000780031201248,0.0,0.0012091898428053,0.0,0.0,0.0,0.0,0.0,2,6.559615237493242,0.0,1.0986122886681098,0.0,2.3978952727983707,1,0,0
12296,Senator,2004,2.0429,3,5,11.0,60.0,60.0,0,0,0.0004361098996947,0.0,0.0,0.0008598452278589,0.0,0.0,0.0,0.0,1,5.908988325283744,0.6931471805599453,0.0,0.0,4.262679877041316,1,0,0
228713,Black Souls,2018,2.0,1,6,11.0,45.0,60.0,0,1,0.0004683840749414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.68213122712422,0.0,0.0,0.0,0.6931471805599453,1,0,0
181161,Brick Party,2015,1.375,2,9,6.0,15.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042194092827004,0.0,2,6.115156019450532,0.6931471805599453,0.0,0.0,2.19722457733622,1,0,0
143238,The Battle for Sector 219,2014,1.3333,2,2,10.0,10.0,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.634728988229636,0.0,0.6931471805599453,0.0,1.3862943611198906,1,0,0
35371,El Juego de la Liga,2003,1.0,2,8,8.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.378724525810097,0.6931471805599453,0.0,0.0,1.0986122886681098,1,0,0
224904,Sunset Over Water,2018,1.7143,1,4,8.0,20.0,20.0,0,1,0.0,0.0,0.0017331022530329,0.0,0.0,0.0,0.0,0.0,3,6.975102352441748,0.6931471805599453,0.0,0.6931471805599453,3.58351893845611,1,0,0
191057,Halt mal kurz: Das Känguru-Spiel,2016,1.1923,3,5,9.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.430794169168903,0.0,0.0,0.0,3.295836866004329,1,0,0
77548,Arkham Express,2010,1.5,1,4,9.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.110873864173311,0.0,0.0,0.0,2.3978952727983707,1,0,0
32464,Sorry! The Simpsons Edition,2007,1.5,2,4,6.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.654977902438255,0.0,0.0,0.0,1.0986122886681098,1,0,0
9606,Cluzzle,2004,1.1549,3,6,8.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033783783783783,0.0,2,5.653658087473632,0.6931471805599453,0.0,0.0,4.276666119016055,1,0,0
285894,Bravo!,2019,1.8571,1,6,8.0,20.0,20.0,1,0,0.0,0.0,0.0016666666666666,0.0,0.0,0.0,0.0,0.0,3,6.571349706805467,1.6094379124341005,0.6931471805599453,0.0,3.091042453358316,1,0,0
67178,Water Lily,2010,1.2857,2,4,6.0,20.0,20.0,0,0,0.0,0.005,0.0008319467554076,0.0,0.0,0.0,0.0,0.0,2,5.432265339057776,0.0,0.0,0.0,3.58351893845611,1,0,0
108711,The Mystery of the Templars,2013,4.0,2,4,16.0,150.0,150.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.445299556896682,1.0986122886681098,0.0,0.0,2.9444389791664403,0,1,0
181616,8-28,2015,1.1667,3,6,8.0,20.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.174387269895637,0.0,0.0,0.0,1.9459101490553128,1,0,0
145943,A Duel Betwixt Us,2014,1.6667,2,2,10.0,45.0,45.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.2487769209879005,0.0,0.0,0.0,2.302585092994046,1,0,0
230253,Star Realms: Frontiers,2018,1.8788,1,4,10.0,20.0,45.0,0,1,0.0050761421319796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8.09376775793108,1.0986122886681098,0.0,4.07753744390572,4.204692619390966,1,0,0
42910,Peloponnes,2009,2.3825,1,5,10.0,45.0,45.0,0,0,0.0017513134851138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.233455418621439,0.0,0.6931471805599453,2.4849066497880004,5.384495062789089,0,0,0
12018,1st Alamein,1997,2.25,2,2,14.0,75.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0003449465332873,0.0,0.0,2,3.4760986898352733,0.0,0.0,0.0,2.5649493574615367,0,1,0
76551,Hirelings: The Ascent,2012,2.0,2,6,4.0,30.0,30.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.143134726391533,0.0,0.0,0.0,1.3862943611198906,1,0,0
33595,9tka,2007,2.125,2,4,8.0,10.0,10.0,0,0,0.0,0.0022675736961451,0.0,0.0,0.0,0.0,0.0,0.0,3,3.355735007585398,0.0,0.0,0.0,2.19722457733622,1,0,0
253319,Southern Pacific,2018,3.0,3,5,10.0,60.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.31748811353631,0.0,0.0,0.0,0.6931471805599453,0,0,0
254029,Grand Dog Park,2018,1.3333,2,6,10.0,15.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.68051120444342,0.0,0.0,0.0,1.3862943611198906,1,0,0
206780,Vikingdoms,2016,2.3333,2,2,10.0,20.0,30.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.73911815849783,0.6931471805599453,0.6931471805599453,0.0,1.9459101490553128,1,0,0
42066,Hotel Amsterdam,2009,1.8,2,4,10.0,45.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.884994333040227,0.0,0.0,0.0,2.3978952727983707,1,0,0
3434,Golden Deuce,2002,1.7333,2,4,10.0,90.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.398555936625092,0.0,0.0,0.0,2.772588722239781,1,0,0
146559,Infamy,2013,2.85,3,4,11.0,60.0,60.0,0,1,0.0006459948320413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.926036741785527,0.0,0.0,1.0986122886681098,3.713572066704308,0,0,0
179794,Me Want Cookies!,2015,1.1,2,5,5.0,10.0,10.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.267858159063328,2.6390573296152584,0.6931471805599453,0.0,2.3978952727983707,1,0,0
245382,The Way of the Bear,2018,1.5,2,4,6.0,25.0,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.806749559386461,1.3862943611198906,0.0,0.0,1.0986122886681098,1,0,0
281680,Beam me up,2019,1.5,2,4,8.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7054087560651463,0.0,0.0,0.0,1.0986122886681098,1,0,0
297666,Jurassic Brunch,2020,1.0,2,2,5.0,15.0,15.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.672828834461906,0.6931471805599453,0.0,0.0,1.0986122886681098,1,0,0
7465,Chekov,2003,1.1111,2,3,8.0,20.0,20.0,0,0,0.0,0.0010330578512396,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8985999850960056,0.0,0.0,0.0,2.302585092994046,1,0,0
17849,Xochintlan,1996,1.5,2,5,8.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.218875824868201,0.0,0.0,0.0,1.0986122886681098,1,0,0
264154,Thrown,2019,2.0,3,5,10.0,40.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.93834031374552,0.0,0.0,0.0,0.6931471805599453,1,0,0
129368,Amber,2012,1.7,2,6,9.0,30.0,30.0,0,0,0.0,0.0,0.0004496402877697,0.0,0.0,0.0,0.0,0.0,1,4.767855768265187,0.6931471805599453,0.0,0.0,3.4339872044851463,1,0,0
233896,Resident Evil 2: The Board Game,2019,2.3571,1,4,12.0,90.0,120.0,0,1,0.0,0.0,0.0,0.0018621973929236,0.0,0.0,0.0,0.0,3,6.699500340161678,0.0,0.0,2.19722457733622,3.367295829986474,0,0,0
126021,Dropzone Commander,2012,3.4167,2,4,12.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0010152284263959,0.0,0.0,3,5.10594547390058,0.0,0.6931471805599453,1.3862943611198906,2.5649493574615367,0,1,0
33040,Humans!!!,2008,1.9592,2,6,11.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.0,0.0,1,6.586171654854675,1.0986122886681098,0.0,1.3862943611198906,3.912023005428146,1,1,0
203416,Exit: The Game – The Pharaoh's Tomb,2016,2.8182,1,6,12.0,45.0,90.0,0,0,0.0028248587570621,0.0,0.008130081300813,0.0,0.0,0.0,0.0,0.0,3,8.205218426395412,2.772588722239781,0.0,0.0,4.204692619390966,0,1,0
167604,Rollet,2014,1.0,4,4,6.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.031286426254964,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,1,0,0
257725,Bingolino,2018,1.0,2,4,6.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5263605246161616,0.0,0.0,0.0,0.6931471805599453,1,0,0
125924,Clubs,2013,1.4348,2,6,8.0,30.0,30.0,0,0,0.0,0.0,0.0010482180293501,0.0,0.0,0.0,0.0,0.0,2,6.292186233067566,1.0986122886681098,0.6931471805599453,0.0,3.8501476017100575,1,0,0
245325,Athens,2018,2.0,2,4,10.0,30.0,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.729701448634192,0.0,0.0,0.0,0.6931471805599453,1,0,0
37732,Boss Kito,2008,1.2632,3,5,8.0,30.0,30.0,0,0,0.0,0.0,0.0004980079681274,0.0,0.0,0.0,0.0,0.0,1,4.657129924918802,0.0,0.0,0.0,2.995732273553991,1,0,0
